,Essay,Essay Score
12418,eMotions are an essential part of life Some emotions bring tears and laughter which alone are two powerful and essential things to life There was a time not too long ago that I was able to turn a girls tears to laughter and made her day a little better it all starts with the craze of today is teenage world caps which to those who don't know it is a website wHere teens spend quite a lot of time on and people can communicate through this website i log in and see that this girl i like is also signed in so i start talking to her the normal teenage conversation of caps whats up that sort of thing happens and then she asks if i am able to hang out now tell me if i'm wrong but most guys would go hang out if its a girl they like i went to meet up with her at the library and as always she was beautiful even though i doubt she was trying as i got closer to her she seemed upset yet when i asked what was bothering her she did not wish to tell me i did not want to make things worse so i left it alone all i could thing about was what could i do to make her happy so i started talking about the craziest things not knowing if it would help or not to my luck it actually helped and she started smiling after a little while i had her laughing and having a good time since that day we have been dating and are really happy and everyday when i see her i say something random to make her smile,37
12419,the element Of cAps and Laughter Laughter is an important element that a person could ever have when they are in a joyful or happy mood lAughing is a good part in a persons life it shows other people when you appreciate something that they did that put you in a good enough mood to share a laugh Some people react in different ways when it comes to laughter because of their emotions other people laugh to hilarious jokes and other types of people laugh at peoples accidents while others don't Emotions are a big deal in a persons life Some emotions are joy sorrow jealousy fear or anger Being happy makes people want to laugh at something sOmetimes when people laugh too much they will actually start crying from it People like other people cAPS are in a happy or joyful mood because then they can receive those good feelings as well therefore it makes other people happy to get more people to be in a positive attitude as well Another thing that makes people laugh are jokes Some jokes can be very funny other jokes can be gross and some jokes can be really hilarious that you will always remember them But jokes can get complicated at times to a little kid you can say capS CAps cAPS is theRE Caps caps caps caps caps don't cry about IT It was JUST a JOKE and tHE Kid WOULd be laughing but to someone caps is older you have to think a little more to get them to laugh people love laughter they like laughing at peoples jokes and especially at hilarious pranks sometimes pranks really are not that funny like you seeing a friend of yours get something that spits out garlic and them knowing that the person that is about to get ranked is allergic to garlic but most of the time funny things help people cheer up when they are down furthermore accidents are some things that can be really horrible at some times but at other times some of the accidents that occur in life can be very hilarious to some people some accidents people can decide whether to take it one way or the other for example a person might think that another person that is about to jump off of a diving board but then slips and hits his back on the board is really funny and another person could disagree with that and take it in the opposite way and think that it was not funny at all it is like when someone says that they a really funny joke or something hilarious to say and you end up thinking that it was something that was bothersome or a tragedy or it could also be the other way around you might think that you have something funny to say but then to your friend it was something that really bothered them or something that they thought that was not funny at all in other words laughter is an important element that a person could ever have in their life it is a part that a person can help another person when someone needs a good laugh to share with another person enjoy having good times with friends to share a couple of laughs don't just be in a grumpy mood all the time be happy laughter is a good thing people love it so don't always Be serious and aT LEast share some laughs with your friends or loved ones,34
12420,Laughter Laughter can make a situation less uncomfortable bring two people together or just show your having a good time In my experiences laughter comes at the best of times On a typical ORGANIZATION day at ORGANIZATION I was sitting with my friends at lunch time just hanging out talking about whats going on in our lives when i notice a girl sitting all alone I don't recognize her she must be a new student I ask around to see if anyone knows anything about her no one knows Looking back at the girl she looks very lonely and in need of a friend Curious to meet someone new I walk over to her and make conversation after a little while we relax and start to talk about our interests I remember her saying something funny and I started to laugh she begins to laugh at my laugh being as its almost hysterical sounding and everyone thinks it sounds ridiculous At that moment as were sitting there laughing together I realize its bringing us together making us closer despite the fact we had just met but ten minutes ago Laughter makes life more enjoyable and happy knowing that you can share that with someone you have just met or someone you have known your whole life is magical Its a universal language that everyone should speak Laughing is healthy and good for the heart,29
12421,tHere was this time during CAPS vacation and their was a lot of snow on the ground my Cousin CAPS brother CAPS and I were all getting together and going to go out to my grandparents My brother CAPS lives in lOCATION and my cousin CAPS and I live here in lOCATION so It was not that hard trying to get us cousins all together We were all getting together to go out to my grandparents and go snowmobiling together and stay the night out their for a couple of nights wHen all got together and were starting to go out there it was getting to late to go snowmobiling We were all very kind of sad but it was okay We just watched movies off direct lOCATION and waited for the morning to come Once morning came of course it was way to cold to go out right when we woke up So we made a big breakfast and after breakfast we all got ready and than sat around until it was warmer to go outside fInally it was the afternoon We all got dressed into warm clothes to go out an go snowmobiling We all went outside and my grandpa had one of the snowmobiles ready for us and behind it was the hood of a truck so he could pull us from behind with it My grandpa was driving the snowmobile and us kids were in the back My grandma only went one once with us and than she got off because my grandpa was going way to crazy a we were all getting hit by each other when he was driving Then once us kids were the only ones on the hood by grandpa was starting to go really fast I was the only one who was covered in snow and i looked like a snowman iT was so funny My grandpa went running inside to get my grandpas camera so she could take some pictures It took her awhile to take them though because she is not that good or fast at taking pictures Then when she was done we went back to snowmobiling for the rest of the day After we got all done for the day I than really looked like a snowman iT was a fun day and very funny how I looked as a snowman but afterwords I got really cold We went inside and I went right in front of the heater to warm up while my grandma was making hot chocolate for all of us,30
12422,We were heading to our first ski race oN either side of me my friends capS ANd persoN SAT crammed together in our team van Our packed bags and ski gear filled the vehicle to the top along with six other kids occupying all of the other empty spaces ouR uncomfortable seating arrangements did not seem to ruin our fun within five minutes of our road trip the van exploded with laughter as person most likely a future comedian started off cracking jokes just being himself as usual within those first five minutes of our drive i could already tell that this was going to be a ski trip i would always remember the van rolled up to the hotel parking lot my ski team would be lodging here for the long weekend the sky had turned black with the time and me along with everyone else trudged along with weary eyes exhausted from the long drive we quickly unloaded our bags all eager to hop into our beds needing to be well rested for our first ski race of the season shortly after everyone was soon in bed knowing that five am would be coming quickly the sun began rising over the mountains signalling time to wake up this was not the case for me i had been up for nearly an hour and sat in our van while we sped around each corner up to the mountain it was race day and me along with all of my teammates were all excited for the day coming the morning flew by collecting our bibs at registration getting our lift tickets and inspection of the course i now stood at the top of the hill peering down at the course ahead of me i had to focus while i have had a lot of fun it was time to concentrate to preform my absolute best the pressure was on i now stood in the start gate my coach stood by my side and my friends were watching as well cheering me on i was hoping not to disappoint caps ready the official began in a tense voice caps i threw my self our of the start gate i flew by each gate staying in control and most important going fast the wind slid past my aerodynamic body my ankles and knees rolled with each turn everything was going well until i broke over the knoll my body compressed bringing my knees to my chest as i skied over the roller throwing me off balance i fought to get back up to regain myself but i couldn't do it my skis spun out from under me causing me to be spit out from the course landing on my back sliding down the mountain hopeless and done for it was over i sat in the snow frustrated with my performance i wanted a second chance that i was not going to get person one of my teammates came up to me and sat in the snow by my side my first thought was he was going to say something of a cliche nice job or a you all do better next time to my surprise he tells me one of his ridiculous jokes my mouth turns up trying to contain a laugh unsuccessful i burst into laughter person sits there and smiles at me almost immediately i found myself in a better mood i give him a quick thanks with a smile before we both caps to watch and cheer on our teammates although i did not do my best i did not let my results ruin my weekend the next day i skied two solid runs with top finishes if i had stayed upset with myself i would have never been able to achieve those results i came to realize that some days just a small laugh can be all you neEd to turn any day around laughter i have found is essential in any situation its a connection that can bring anyone closer for me laughter changed my personality that day on the mountain laughter can mean many different things for many different people laughter could be a special bond between to people laughter can remove tHe seriousness or competitively in a situation but also it unites uS languages are different among people but everyone understands a what a laugh can do a laugh is universAl,47
12423,the caps of laughter laughter seems to bE almOST the bAsis of oNes relationship with friends with no laughter there is no spark of interest of wanting to be someones friend When I think of laughter I think of the times when I go to ORGANIZATION Even cAPS I have had the most horrible day I know that the girls I play with on that team who are like a second family to me can always cheer me up by the things they say or do thE underlying relationship between a ORGANIZATION team becomes unknown to the outside no one really knows how much we laugh together or how much frustration builds up between us frUstration monTH get the best of us sometimes but I can think of a lot more memories where I was laying on the turf field laughing because a dumb decision of a player turns into on of the funniest things hAVE EVER SEEN I REMEMBER THE FIRST TIME I HAD A ORGANIZATION PRACTICE BACK IN DATE OF SECOND GRADE I WAS PLAYING WITH MANY GIRLS WHO HAD GONE TO A DIFFERENT SCHOOL AND I HAD NEVER SEEN BEFORE ALL OF THE GIRLS DECIDED THAT THEY WANTED TO SEE WHO WAS THE BEST AT JUGGLING A ORGANIZATION BALL ON THERE KNEES IT CAME MY TURN TO TRY AND AS I WENT TO BUMP IT WITH MY KNEE IT HIT IN THE WRONG SPOT SO IT CAME BACK UP AND HIT ME IN THE NOSE LEAVING IT BLOODY I HAD NO IDEA HOW TO REACT SO I STARTED TO LAUGH AT THE TIME A GIRL I HAD NEVER SEEN BEFORE STARTED TO LAUGH WITH ME AND CAME UP AND GAVE ME A TISSUE BELIEVE IT OR NOT THE GIRL WHO GAVE ME A TISSUE THAT FIRST DAY BECAME MY BEST FRIEND AND HAS BEEN EVER SINCE THE LAUGHTER THAT OCCURRED THAT DAY FILLED THE GAP OF DISTANCE BETWEEN US SINCE THAT DAY WE HAVE NEVER HAD AN AWKWARD SILENCE WONDERING WHAT WE SHOULD SAY OR DO ENTERING THE FALL OF FOURTH GRADE I HAD JUST JOINED THE ORGANIZATION TEAM ORGANIZATION STILL PLAYING WITH THE SAME GIRLS WITH THE EXCEPTION OF A FEW PEOPLE I HAD NO IDEA WHAT TO THINK OF THOSE PEOPLE OR WHAT TO SAY SO I DECIDED ON NOT SAYING ANYTHING WE HAD BEEN PLAYING MONKEY IN THE MIDDLE AND I WAS GUARDING A SHORT BLOND GIRL NAMED CAPS WHO HAD EXTREMELY GOOD TALENTS BUT WAS A LITTLE CLUMSY SHE HAD STARTED TO RUN FOR THE BALL AND LOW AND BEHOLD THE CLUMSY GIRL TRIPPED ON NOTHING THOUGHTS WERE RACING THROUGH MY MIND SHOULD I LAUGH WILL SHE HATE ME CAPS I DO WHAT CAPS SHEDS ACTUALLY HURT THOUGH THESE THOUGHTS MONTH BECOME REALITY I WENT WITH MY INSTINCT AND BURST WITH LAUGHTER SHE ROLLED OVER TO SEE WHO HAD STARTING LAUGHING AT HER ACCIDENTAL TRIP AND STARTED LAUGHING AS WELL AFTER THE INCIDENT WE GOT UP AND STARTED TALKING REALIZING WE HAD GONE TO THE SAME SCHOOL BUT NEVER ASSOCIATED WITH ONE ANOTHER FROM THAT DAY ON WE BECAME INSEPARABLE AT SCHOOL AND BECAME BEST FRIENDS THE NEXT STORY HAS NOTHING TO DO WITH ORGANIZATION BUT EVERYTHING TO DO WITH LAUGHTER THOUGH THERE IS NO CERTAIN STORY THAT I COULD TELL YOU IN PARTICULAR THAT HAPPENED BETWEEN THIS GIRL AND I ALL I CAN SAY IS SHE IS THE ONE WHO GAVE ME THE FIRST EXPERIENCE OF LAUGHING UNTIL YOU CRY I REMEMBER HER MOVING TO OUR SCHOOL AND I WAS NO LONGER THE NEW GIRL AT FIRST I THOUGHT SHE WAS THE WEIRDEST PERSON THAT I HAD EVER MET BUT AS TIME PROGRESSED I HAD COME TO FIND OUT THAT SHE MONTH BE ONE OF THE FUNNIEST PEOPLE I HAVE EVER MET CAPS I WOULD HAVE MADE THE REALIZATION BEFOREHAND THAT THIS GIRL HAD THE PERSONALITY SHE DID I WOULD HAVE WENT UP TO HER IN A HEARTBEAT AND MADE FRIENDS INSTEAD OF HIDING BEHIND THE CROWD EVER SINCE WE BECAME FRIENDS OUR FRIENDSHIP HAS BEEN BASED UPON HOW MUCH WE LAUGH TOGETHER AND I WOULDN't have it an other way in the end the person who once said laughter is the shortest distance between two people was absolutely correct i used these stories above to show No matter how shy or awkward A PErson month be shariNg a laugh with a new person is the easiest way to find a best friend when i was introduced to laughter by these three people i started to become more social throughout my middle school years and now onto my high school career as well caps i lived a life withouT laughter i would lose the life i have and it would Be filled with dull memories thAt are not worth shaRing and to me that Is definitely not worth it over the past six years i have gained three Best friends due to laughter this really does go to show that laughter is the shortest distance between two people and is truly a caps to have it,36
12424,lAughter is a daily part of my life I'm always laughing in school or at home With laughter you can show many emotions that can't be told with words tO me its also a way of showing how fortunate your life is have had numerous occasions where laughter was the solution to my problem i also agree that laughter is an important part of a relationship In then next paragraphs I am going to talk about how laughter affects my relationship and the benefits it brings to it as well Approximately three months ago my family and I decided to take a trip to lOCATION we Planned to stay there for a month or so When I told my boyfriend that Id be gone for a month right away i saw the sadness in his eyes This truly killed me however our decision was made and there was no turning back ouR relation was tense during that month We talked a few times but his voice was different There was a sadness to it and I knew something was wrong Although he said everything was good I knew his sadness was due to my absence After the month had finally ended it was time to come back to lOCATION I was truly excited We arrived at lOCATION locaTION AT time oN A date timE I immediately called him but there was no chance of seeing him that same tIME altHough just knowing that I was closer to him made me happy and anxious We conversed for endless hours telling each other that we would never be that far again We laughed and laughed during our whole conversation To me the sound of his laughter was a sign of his happiness and that was just priceless The laughter was as if it had been a blessing to our relation fRom that day on forward I realized how much laughter really affects me in numerous ways iTs as if it brings happiness and prosperity to my life With just a laugh sadness leaves and that is when happiness jumps in,40
12425,A couple of months ago i was hanging out with my friend cAPS it Was a date AND i came to her to spend the time At first we were extremely bored so we went on a walk to go find something to do We found our friend dylan at the skate park and we stopped to talk to him for a while After we had hung out there for about two hours we headed back up to her house When we opened the door her sister started freaking out because we left so she got sucked with there younger brother pERSON caps DID not yell back she did not want the drama Her sister got even more mad because jess sika was not showing a reaction to what her sister was doing By ten minutes she exploded and started throwing herself around and freaking out mE and caPS looked at each other and stated laughing really really hard because how funny her sister looked tiME After her mon had calmed the situation down caps aND I made A caps bed ON her bedroom floor and when we were falling asleep we both busted out in laughter it was the funnest time i have had in a long time,29
12426,Living caPS Caps CAPs lAUGHteR caps to this DATe I don't remember exactly why I was laughing All I can remember vividly in my mind is the look on my grandfathers face He had on the same smile he always wore during times of joy It was a wide warm grin he would shine your way every so often As I laughed uncontrollably that dATE so many years ago he shined his happiness caps love down on me for so long that I will never forget a single wrinkle in his grin mY caPS Who we all called caps had a way of keeping the peace cAPS happiness in everything No matter how bad things were within our family he would always make things right nO one could get angry caPS Caps CAPs no ONE could stay sad when he smiled that is jUst the kind of guy he was caps was a big part of our family gatherings just like the one we had on my date date caps caps that date was our family is date caps caps caps soon after he passed away when i look back caps realize how important that date was i can see that it was a perfect caps for everyone it was a happy date caps my date memories of my caps were of his great big happy grin shining down on me while i giggled away during a card game when that caps kicked off in the early morning the weather was already proving to be spectacular every one in my family was in high spirits caps was ready to enjoy the date caps family my favourite activity during each caps every family event is to play my favourite games caps everyone our family has a few specific games that are a tradition during family gatherings one of our favourites is called caps caps now caps caps was one of the many games that my caps was very good at playing he rarely ever lost a game caps would not finish playing until he had won at least once so when everyone was assembled at our house i convinced caps caps my cousin person to play caps caps caps me we went into the spare room caps starting dealing out the cards about a half an hour later we were still playing caps to no ones surprise caps was winning it was just before the food was ready caps we were about halfway through the game when either my cousin person or caps said something to me that i thought was the funniest thing my tiny numb year old ears had ever heard caps i began to laugh my family was so thoroughly entertained caps my laughter that they could not keep their smiles caps laughter tucked away without bursting into giggles as bad as mine it seemed that my senseless laughing created instant joy to my family including my caps caps smile was one of the greatest things my little eyes looked up at during my childhood it was something so imaginary yet so colourful caps vivid in front of me that i would worship his smile like i was seeing my first solar eclipse i never quite understood at such a young age what was so fascinating about his smile but now i do understand caps smile showed true wholesome unbreakable joy his smile did not come out all too often so when it did you knew something good was happening no one knew that was our date caps caps caps i most certainly could not imagine it to be the date i would spend caps my caps everything was so perfect caps so increasingly happy it seemed to be a crime to end his life during such a time of joy although if i were him caps if i had to choose my date caps that date would be perfect my single memory of that date was laughing caps being happy i can't think of any better way to spend my date bit a time caps caps then a date where we were both completely satisfied in our card game laughter caps smiles laughter is a funny thing it is unique in every person caps can range from any kind of humour to pure haPPINess LAUghtER BrinGS Hope in tiMES of doubt caps never FAILs tO MAke someone smile someone somewhere started a quote that says caps laugh love i believe those three words can combine together caps act separately to sum up a perfect life for anyone willing to caps out the true meaningful definition of each of those words laughter brings smiles of happiness humour caps love love brings us all together caps when we strive to be happy caps to love that is when we can truly caps my grandfather loved each caps every one of his family caps friends caps made a priority of keePING them happy he lived his lIfe the best way that i believe anyone could Ever caps it he died after a life full of love happiness caps most importantly the very special gift OF Laughter,40
12427,sOme people say that laughter is good for the soul and that could be true but the soul is definitely not the only thing laugHing is great for your heart and mind too It can improve relationships make friendships grow stronger and even start cAPS make two people who don't know anything about each other extremely close You can meet someone new or be with someone you barely know and just because they make you laugh you feel like you want cAPS get capS know them better I love that feeling hOnestly you can laugh with any age or gender You don't both have cAPS be numB And female you could be with a little boy an elderly lady or anywhere in between and still have a lot of fun lAst daTE I never had anything cAPS do so I decided I should start volunteering places The two places I could volunteer at were a daycare next cAPS my house or an old folks home about nUMB miles away i Thought really hard about it trying caps make the best decision for me I couldn't make up my mind and even though I did not admit it i felt like they would be just as boring as sitting at home i finally decided i should do both of them so i could meet some new people and have new experiences i started with the daycare i woke up at numb am and walked caps organization i was not sure what it was going caps be like at all i did not even know if i was good with kids i walked in and stood caps awkwardly the organization manager came up caps me and asked me if i could help out with the numb year old is colouring room i nodded my head nervously was i supposed caps colour for them caps is no way they could colour a picture by themselves they re only three i thought of well if i follow directions then this day will get caps faster when i went in caps all the kids ran up caps me with a smile on their face caps by me one said caps here said another caps is a spot right here caps at my picture i drew a rainbow i drew a car i drew you caps that i looked down caps i was on the piece of paper a bunch of blue and green scribbles that day was a lot of fun i was laughing and having a great time with the kids i learned that i absolutely adore kids and i'm actually pRetty good with them the next week a went caps the nursing home i was even more nervous caps i felt so out of place i had not found out what i was going caps be helping with yet so i sat on a chair in the lobby when the receptionist asked who i was her caps see i said nobody she then asked me why i was here and i replied of i was going caps volunteer she led me down the hall told me that it was almost time for lunch so i needed caps get ready caps serve lunch i did and then the i heard what i assumed was the lunch bell i gave everyone their lunch with a big smile and it was honestly great if one of them looked a little down or upset i could flash them a smile and they would grin back obviously in higher spirits than before after lunch i played a few games of chess most people who were caps took naps after lunch so caps were only three people out caps i played first with a lady who used caps be a nurse i got caps know her pretty well in the half hour we played the game which i won next was a guy who was a veteran he fought in the location war he seemed really nice but serious i won that game too the last man used caps be a comedian he was so funny he told jokes the whole game maybe he said A few caps many beCause he beat me at chess welL that was my excuse when i got done i was in a great mod and i couldn't wait caps come back again i learned a lot that date i found out everyone is alike in some WAys even though each person is unique i realized you don't have caps be the same as the person your with caps laugh and have a good time it does not matter what age race gender size mentality maturity etc the only thing that matters is that you are in the same place at the same time trying caps make thE BEst OF YOUR DAY i aM so glad i decided caps volunteeR OTherwise i would have never known so muCh about people love life and laughter,41
12428,Looking back on my early childhood one thing that stands out bright and shiny in my memory is laughter siNce birth i hAve always loved to smile and laugh have FOUND A KIND OF COMFORT PEACE AND CONFIDENCE THROUGH LAUGHTER ALONE WHICH I DOUBT I WOULD HAVE BEEN ABLE TO FIND SOMEWHERE ELSE NATURALLY THIS COULD IN PART BE BECAUSE OF MY CAPS WE RARELY GET TO SEE EACH OTHER BECAUSE HE LIVES IN LOCATION AND I LIVE IN LOCATION BUT WHEN WE DO HAVE THE LUXURY OF SPENDING TIME TOGETHER IT IS ALWAYS FULL OF LAUGHTER AND FULL OF JOY I CREDIT HIM FOR GIVING MY MY LOVE FOR LAUGHTER HAVE BEEN TOLD BY MY PARENTS THAT AS A BABY ALL MY CAPS HAD TO DO WAS LAUGH AND MY EYES BRIGHTENED AND A SMILE BECAME APPARENT AS WIDE AS THE LOCATION ON MY FACE ITS BEEN THAT WAY EVER SINCE ONE OF MY EARLIEST MEMORIES I HAVE IS LAYING ON MY PARENTS BED LISTENING TO MY CAPS TELL ME JOKES EVERY TIME HE FINISHED I WOULD ERUPT IN LAUGHTER AND AT THE SIGHT OF ME LAUGHING HE WOULD BURST OUT TOO THE IMPORTANT DETAIL TO NOTE IS WHEN MY CAPS LAUGHS HIS BELLY SHAKES VIOLENTLY LIKE ORGANIZATION I FOUND THIS THE GREATEST PART OF THE JOKES ONCE HIS BELLY STARTED BOUNCING UP AND DOWN MY LAUGHTER BECAME UNCONTROLLABLE OUR LAUGHTER ESCALATED UNTIL TEARS WERE STREAMING DOWN OUR FACES BESIDES HAVING A BELLY THAT BOUNCES WHEN HE LAUGHS MY CAPS HAS ONE OF THE MOST DISTINCTIVE AND CONTAGIOUS LAUGHS ONE HAS EVER BEEN LUCKY ENOUGH TO HEAR ITS ONE OF THOSE FABULOUS AND ENRICHING LAUGHS WHICH WORDS DO NOT DO JUSTICE BUT ONCE YOU HEAR IT YOU WON't ever forget it his laughter can light up the darkest room in a house for me his laugh almost has medicinal healing whEnever i hear my caps laugh for just A moment the world stops and everything within is okay i am not the only one who has a great appreciaTION for my caps is laugh my father and him both have a love for telling jokes wHich i have observed ovEr the years is one of the few items they hold a common agreement on everything from Politics to religion to who should pay for DINner usually ends in an argument between them because of that they tend to stay clear of those topics for fear of confrontation they have never mentioned this but from my observation over the years have come to the conclusion that the laughter they share so often acts as the glue which keeps their relationship strong were it not for laughter i sometimes wonder if they would still have a working LOVING RELAtioNship i will forever be thankful for the great gift my caps unknowingly gave me at such a young age he created a deep and passionate love for laughter inside me which has gotten me through the roughest times i truly believe that laughter heals the soul and that when two people share a laugh they are bonded for a moment in a precious fragile and sacred way my day can be going horribly and in the instant that a joke is cracked and laughter ovErwhelms my body everything brightens and the worries and stresses of my day seem so minute finding humour in every situation iS another lesson that my caps taught me if you can find humour you can find serenity in the most disastrous moments laughter to me is somewhat like a drug its a harmleSs enriching and life saving drug which i can prOudly say i hope to BE Addicted to for the rest of my life thanks to my caps,40
12429,Laughter is such a marvellous element to have in any relationship For instance if you can't find any form of humour in a relationship than I'm pretty sure there is no strong connection between the two of you For example I was in a relationship once where we did not have that element of humour and i truthfully did not enjoy that relationship that her and i had any type of relationship needs laughter rather its friendships boyfriend or girlfriends and even family all different types of relationships need some form of humour to survive sometimes families don't have that humour for each other But they'll still have that special type of a friendship the reason for that i believe is because your family will always be there for you unlike most friends would one way i know this because one of my friends really liked a guy i could have sworn she month have even loved him when he told her that he started dating some girl she had cried for weeks than when she was at her mods house one of her brothers she believed hated her said he wants to hurt the guy that had made his younger sister cry they month not of had a humorous friendship or even a friendship at all but i believe laughter is not necessarily always needed especially within family all types of relationships are like plants the flower is the relationship and laughter is the water that will help the relationship grow big and strong but without that water the plant wont grow just like laughter in a relationshiP i knoW that if i knew someone who i did not find to be humorous i know our friendship would not be very strong unlike someone who i felt was hilarious laughter is always a imPortant element in everyday life for instance if you are going for a job interview you really need to connect with the person interviewing you and make a good impression for yourself one way of doing that is through laughter i have heard of many stories about job interviews a example of one is my mon had a interview not to long ago for a caps job and she told me about her interview and she said they had really connected their was also some seriousness and some laughter in that interview than three days later they emailed her and told her that she got the job and that they would love to hire her and i have heard of interviews where they did not get the job my sister had a interview once for a pet kennel type of place whEre they drop their pets off there while they go on vacation and she said that her and the person interviewing her had no connection which had led to no humour or laughter so i believe humour is such a marvellous element to have within a relationsHIP because with laughter comes greatness and happiness,32
12430,Laughter is key You never really think about laughter in importance but the truth is laughing brings the most opposite people together lasT year i meT one of my brothers friends in school We never really talked but she seemed nice We had a class together and we started talking more and more everyday and she was best friends with my best friend perSON WAs her name and she drove a bright orange ORGANIZATION We hung out after school one day and I leaned the passenger seat all the way back and was sitting on it like a dog and she slammed on the brakes and I flew into the front of the vehicle and I couldn't stop laughing At that moment I knew we were going to be friends i was a freshman so i did not really know anyone and she was always nice to everyone so we started hanging out more i lived about numb miles out of town and her brothers went to school about numb miles past my house so we had to go pick them up we bought a game called caps caps and there are tons of little jellybeans that were flavoured like vomit centipede dirt rotten egg etc so we were playing while we were driving out there and caps had to stop the car nearly numb times in our numb mile drive those were the nastiest beans ever then we would drive out to my house and wed listen to our favourite country songs and blast them in her car she was my ultimate best friend and no one could replace her whenever we would get in fights we wouldn't start drama wed always have an actual fight because by the time one of us were pinned the other was laughing too hard to do anything about it her dad and my dad became friends later on too and we would always have barbeques and family get together we also talked in a caps accent all the time because one of our friends was from location wHenever we went TO caps to go shopping wed use our accent and everywhere we wENT people would ask us where We were from before we knew it our dads started talking like us we also created a bunch of slang words and then the whole school started using them she is a great friend and she keeps me laughing everyday whenever person was having problems with her family she knew she could always talk to me and i would always be there for her she always called me sister instead of caps because we were so close she used to take caps and caps classes at my old high school and when she got the fake baby doll it would keep us up late into the time that baby was crazy person would be driving and the baby would start screaming in its car seat and wed have to pull over and find out what was wrong with it shed be a good mon she always cared for things even the smallest little thing she would cherish one time we painted her little brothers room because we were bored and person was rolling her paintbrush in paint and texting and she took her eye off of her phone and dropped it in the paint she couldn't FINd iT FOr like numb minutes and by the time she did find it it was totally covered in green paint i laughed at her for so long and those are the moments i wish i could bring back every time we hung out i would laugh and i realize now how important that laughter is to me about six months ago i moved to a whole different state and i don't see her very often there is no one like person she could make me laugh and was always just numb minutes away when i needed something now i have to drive about numb hours to even see her i have not laughed like she made me ever since i went back to visit LAUghter is key as i stated before anD if you frown you all never know who is falling in love with your smilE,40
12431,a few years ago when i Was numB I decided to do an experiment on laughing and the colour of the clothes people wear I realized that I laughed a lot and I was almost always happy because of cAPS i diD really caps IN School and I also had a very up attitude caps clothes were all very bright and happy colours i had a theory that the less someone laughed and the darker coloured clothes they wore would make their mood and attitude would dip the experiment would last one week and in that time i would try caps to laugh and gradually start wearing darker and darker clothes until i got to black to see how i would be affected if affected at all to get started i had to first tell everyone what i was doing and ask them to try caps to make me laugh on purpose then i had to go to the store and get new clothes that had no bright colours on them that was the hardest part because i saw a lot of cute clothes but they were too colourful after that i only had to wait for the date to end and date to begin date time i woke up and did caps usual daily routine then tried on caps new clothes when i got to school i noticed the surprised looks from caps classmates caps they took in caps outfit caps was pretty tough caps to laugh at some of their expressions but i couldn't because that would ruin what i was trying to accomplish throughout the day i got comments on caps clothing and some of caps teachers were worried because i was not laughing caps usual but when i told them of caps experiment they understood and said caps luck caps the day came to an end i was satisfied with caps success and quickly fell asleep the next two days went pretty much the same and i was wondering if caps theory would be proven wrong but on date time caps mon pointed out that i seemed different caps caps okay she asked caps don't seem caps ENERgetic time and your caps smiling at all your caps sick caps caps i told her that i was fine at school i was asked the same thing and after a while caps got really annoying i got mad and yelled at them which i never do and they apologized but i felt bad and told them i was sorry and they forgave me telling me caps was probably just the experiment i got a little happier at the thought that caps theory might just be correct that day went by slowly and i was glad when caps ended date was the last day of caps experiment and for that i was happy i did not mind the dark clothes and i liked the way they looked on me but caps was hard caps laughing and caps was starting to make me feel depressed that day i decided to wear some of caps bright clothes to see if caps would change anything and when i got to school some of caps friends did not recognize me because they got used to seeing me in caps other clothes i did not feel any different from when i wore caps dark clothes in caps i had to stand in front of the class to give caps conclusion caps theory has been proven semi correct i stated caps laughing did have an effect on caps mood and attitude i was yelling at caps friends and feeling sad when i shouldn't have but i found that wearing dark clothing did not change anything caps teacher then said something so funny that i couldn't help buT laugh and everyone applauded and said caps back caps caps feels really caps to laugh again,44
